feature,importance_score,importance_rank,model_name,method_used
total_earned_premium,0.1521964499996894,1,RandomForest,feature_importance
total_written_premium,0.12634166575676095,2,RandomForest,feature_importance
total_tax,0.10289091043550253,3,RandomForest,feature_importance
loss_ratio,0.08207796881753884,4,RandomForest,feature_importance
average_loss_ratio,0.08096223746061003,5,RandomForest,feature_importance
total_admin_expense,0.07162359013999806,6,RandomForest,feature_importance
total_net_loss,0.06463667068190312,7,RandomForest,feature_importance
average_claim_severity,0.05293612250627965,8,RandomForest,feature_importance
claim_frequency,0.04472579494235293,9,RandomForest,feature_importance
total_claim_count,0.03732215750374177,10,RandomForest,feature_importance
claim_frequency_per_year,0.036371414934590354,11,RandomForest,feature_importance
average_earned_premium,0.020862720528341594,12,RandomForest,feature_importance
total_commission,0.017966027533821715,13,RandomForest,feature_importance
max_tenure,0.014358304941414502,14,RandomForest,feature_importance
average_premium,0.013018710027909242,15,RandomForest,feature_importance
policy_year_records,0.01283512653246651,16,RandomForest,feature_importance
years_active,0.012247458112063856,17,RandomForest,feature_importance
average_coverage_amount,0.01070490406381487,18,RandomForest,feature_importance
renewal_rate,0.009214526736331158,19,RandomForest,feature_importance
average_property_value,0.0072725194263657195,20,RandomForest,feature_importance
dominant_state,0.006477633684816522,21,RandomForest,feature_importance
dominant_agent_channel,0.006152460387742497,22,RandomForest,feature_importance
average_customer_satisfaction,0.0020662461501936022,23,RandomForest,feature_importance
premium_to_property_ratio,0.0017272225723414004,24,RandomForest,feature_importance
average_hazard_score,0.0014036617909600777,25,RandomForest,feature_importance
average_agent_experience,0.0012959068225218552,26,RandomForest,feature_importance
total_complaints,0.001278445311363074,27,RandomForest,feature_importance
average_payment_delay,0.0012230838735340355,28,RandomForest,feature_importance
multi_product_rate,0.0011484100622209052,29,RandomForest,feature_importance
average_credit_score,0.0010935370300895048,30,RandomForest,feature_importance
coverage_to_property_ratio,0.0010585280656264225,31,RandomForest,feature_importance
average_deductible,0.0010565667441900465,32,RandomForest,feature_importance
dominant_item_type,0.0006545956531941045,33,RandomForest,feature_importance
dominant_marketing_channel,0.0006002762125650158,34,RandomForest,feature_importance
dominant_credit_band,0.000500500814617506,35,RandomForest,feature_importance
dominant_payment_method,0.0004586690764230748,36,RandomForest,feature_importance
dominant_subtype,0.0004382011295059662,37,RandomForest,feature_importance
delinquency_rate,0.00040060040306838133,38,RandomForest,feature_importance
dominant_income_bracket,0.0004001731335293503,39,RandomForest,feature_importance
